id,code,name,parent_id/id,active,reconcile,user_type/id,type,child_consol_ids/id,note
account.account_account_42,42,Personnel et comptes rattachés,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_421000,421000,Personnel - Rémunérations dues,account.account_account_42,True,True,account.data_account_type_liability,Regular,,
account.account_account_422000,422000,Comités d'entreprise d'établissement ,account.account_account_42,True,True,account.data_account_type_liability,Regular,,
account.account_account_424,424,Participation des salariés aux résultats,account.account_account_42,True,True,account.data_account_type_view,View,,
account.account_account_424600,424600,Réserve spéciale,account.account_account_424,True,True,account.data_account_type_liability,Regular,,
account.account_account_424800,424800,Comptes courants,account.account_account_424,True,True,account.data_account_type_liability,Regular,,
account.account_account_425000,425000,Personnel - Avances et acomptes,account.account_account_42,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_426000,426000,Personnel - Dépôts,account.account_account_42,True,True,account.data_account_type_liability,Regular,,
account.account_account_427000,427000,Personnel - Oppositions,account.account_account_42,True,True,account.data_account_type_liability,Regular,,
account.account_account_428,428,Personnel - Charges à payer et produits à recevoir,account.account_account_42,True,True,account.data_account_type_view,View,,
account.account_account_428200,428200,Dettes provisionnées pour congés à payer,account.account_account_428,True,True,account.data_account_type_liability,Regular,,
account.account_account_428400,428400,Dettes provisionnées pour participation des salariés aux résultats,account.account_account_428,True,True,account.data_account_type_liability,Regular,,
account.account_account_428600,428600,Autres charges à payer,account.account_account_428,True,True,account.data_account_type_liability,Regular,,
account.account_account_428700,428700,Produits à recevoir,account.account_account_428,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_43,43,Sécurité Sociale et autres organismes sociaux,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_431000,431000,URSSAF,account.account_account_43,True,True,account.data_account_type_liability,Regular,,
account.account_account_437000,437000,Autres organismes sociaux,account.account_account_43,True,True,account.data_account_type_liability,Regular,,
account.account_account_437200,437200,Caisse de Retraite Cadre,account.account_account_43,True,True,account.data_account_type_liability,Regular,,
account.account_account_437300,437300,Caisse de Prévoyance Cadre,account.account_account_43,True,True,account.data_account_type_liability,Regular,,
account.account_account_437400,437400,Caisse de Mutuelle Cadre,account.account_account_43,True,True,account.data_account_type_liability,Regular,,
account.account_account_438,438,Organismes sociaux - Charges à payer et produits à recevoir,account.account_account_43,True,True,account.data_account_type_view,View,,
account.account_account_438200,438200,Charges sociales sur congés à payer ,account.account_account_438,True,True,account.data_account_type_liability,Regular,,
account.account_account_438600,438600,Autres charges à payer,account.account_account_438,True,True,account.data_account_type_liability,Regular,,
account.account_account_438700,438700,Produits à recevoir,account.account_account_438,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_44,44,Etat et autres collectivités publiques,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_441,441,État - Subventions à recevoir,account.account_account_44,True,True,account.data_account_type_view,View,,
account.account_account_441100,441100,Subventions d'investissement,account.account_account_441,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_441700,441700,Subventions d'exploitation,account.account_account_441,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_441800,441800,Subventions d'équilibre,account.account_account_441,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_441900,441900,Avances sur subventions,account.account_account_441,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_442,442,État -Impôts et taxes recouvrables sur des tiers ,account.account_account_44,True,True,account.data_account_type_view,View,,
account.account_account_442400,442400,Obligataires,account.account_account_442,True,True,account.data_account_type_asset,Regular,,
account.account_account_442500,442500,Associés,account.account_account_442,True,True,account.data_account_type_asset,Regular,,
account.account_account_443,443,"Opérations particulières avec l'État, les collectivités publiques, les organismes internationaux",account.account_account_44,True,True,account.data_account_type_view,View,,
account.account_account_443100,443100,Créances sur l'État résultant de la suppression de la règle du décalage d'un mois en matière de TVA,account.account_account_443,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_443800,443800,Intérêts courus sur créances figurant au compte 4431,account.account_account_443,True,True,account.data_account_type_asset,Regular,,
account.account_account_444000,444000,État - Impôts sur les bénéfices,account.account_account_44,True,True,account.data_account_type_liability,Regular,,
account.account_account_445,445,État - Taxes sur le chiffre d'affaires,account.account_account_44,True,True,account.data_account_type_view,View,,
account.account_account_4452,4452,TVA due intracommunautaire,account.account_account_445,True,False,account.data_account_type_view,View,,
account.account_account_445201,445201,"TVA due intracommunautaire 19,6%",account.account_account_4452,True,False,account.data_account_type_liability,Regular,,
account.account_account_445202,445202,"TVA due intracommunautaire 5,5%",account.account_account_4452,True,False,account.data_account_type_liability,Regular,,
account.account_account_445203,445203,TVA due intracommunautaire (autre taux),account.account_account_4452,True,False,account.data_account_type_liability,Regular,,
account.account_account_4455,4455,Taxes sur le chiffre d'affaires à décaisser,account.account_account_445,True,True,account.data_account_type_view,View,,
account.account_account_445510,445510,TVA à décaisser,account.account_account_4455,True,True,account.data_account_type_liability,Regular,,
account.account_account_445580,445580,Taxes assimilées à la TVA,account.account_account_4455,True,True,account.data_account_type_liability,Regular,,
account.account_account_4456,4456,Taxes sur le chiffre d'affaires déductibles,account.account_account_445,True,False,account.data_account_type_view,View,,
account.account_account_445620,445620,TVA sur immobilisations,account.account_account_4456,True,False,account.data_account_type_asset,Regular,,
account.account_account_445630,445630,TVA transférée par d'autres entreprises,account.account_account_4456,True,True,account.data_account_type_asset,Regular,,
account.account_account_445660,445660,TVA sur autres biens et services,account.account_account_4456,True,False,account.data_account_type_asset,Regular,,
account.account_account_445662,445662,TVA déductible intracommunautaire,account.account_account_4456,True,False,account.data_account_type_asset,Regular,,
account.account_account_445670,445670,Crédit de TVA à reporter,account.account_account_4456,True,True,account.data_account_type_asset,Regular,,Si le remboursement n'a pas été demandé
account.account_account_445680,445680,Taxes assimilées à la TVA,account.account_account_4456,True,True,account.data_account_type_asset,Regular,,
account.account_account_4457,4457,Taxes sur le chiffre d'affaires collectées par l'entreprise,account.account_account_445,True,True,account.data_account_type_view,View,,
account.account_account_44571,44571,TVA collectée,account.account_account_4457,True,False,account.data_account_type_view,View,,
account.account_account_445711,445711,"TVA collectée 19,6%",account.account_account_44571,True,False,account.data_account_type_liability,Regular,,
account.account_account_445712,445712,"TVA collectée 5,5%",account.account_account_44571,True,False,account.data_account_type_liability,Regular,,
account.account_account_445713,445713,TVA collectée (autre taux),account.account_account_44571,True,False,account.data_account_type_liability,Regular,,
account.account_account_445780,445780,Taxes assimilées à la TVA,account.account_account_4457,True,True,account.data_account_type_liability,Regular,,
account.account_account_4458,4458,Taxes sur le chiffre d'affaires à régulariser ou en attente,account.account_account_445,True,False,account.data_account_type_view,View,,
account.account_account_445810,445810,Acomptes - Régime simplifié d'imposition,account.account_account_4458,True,True,account.data_account_type_asset,Regular,,
account.account_account_445820,445820,Acomptes - Régime du forfait,account.account_account_4458,True,True,account.data_account_type_asset,Regular,,
account.account_account_445830,445830,Remboursement de taxes sur le chiffre d'affaires demandé,account.account_account_4458,True,True,account.data_account_type_asset,Regular,,
account.account_account_445840,445840,TVA récupérée d'avance,account.account_account_4458,True,True,account.data_account_type_liability,Regular,,
account.account_account_445860,445860,Taxes sur le chiffre d'affaires sur factures non parvenues,account.account_account_4458,True,True,account.data_account_type_asset,Regular,,
account.account_account_445870,445870,Taxes sur le chiffre d'affaires sur factures à établir,account.account_account_4458,True,True,account.data_account_type_liability,Regular,,
account.account_account_446000,446000,Obligations cautionnées,account.account_account_44,True,True,account.data_account_type_liability,Regular,,
account.account_account_447000,447000,"Autres impôts, taxes et versements assimilés",account.account_account_44,True,True,account.data_account_type_liability,Regular,,
account.account_account_448,448,État - Charges à payer et produits à recevoir,account.account_account_44,True,True,account.data_account_type_view,View,,
account.account_account_448200,448200,Charges fiscales sur congés à payer ,account.account_account_448,True,True,account.data_account_type_liability,Regular,,
account.account_account_448600,448600,Charges à payer,account.account_account_448,True,True,account.data_account_type_liability,Regular,,
account.account_account_448700,448700,Produits à recevoir,account.account_account_448,True,True,account.data_account_type_asset,Regular,,
account.account_account_449000,449000,Quotas d'émission à restituer à l'État,account.account_account_44,True,True,account.data_account_type_liability,Regular,,
account.account_account_45,45,Groupe et associés,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_451000,451000,Groupe,account.account_account_45,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_455,455,Associés - Comptes courants,account.account_account_45,True,True,account.data_account_type_payable,View,,Pour frais avancés personnellement
account.account_account_455100,455100,Principal,account.account_account_455,True,True,account.data_account_type_payable,Payable,,
account.account_account_455800,455800,Intérêts courus,account.account_account_455,True,True,account.data_account_type_payable,Payable,,
account.account_account_456,456,Associés - Opérations sur le capital,account.account_account_45,True,True,account.data_account_type_view,View,,
account.account_account_4561,4561,Associés - Comptes d'apport en société,account.account_account_456,True,True,account.data_account_type_view,View,,
account.account_account_456110,456110,Apports en nature,account.account_account_4561,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_456150,456150,Apports en numéraire,account.account_account_4561,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_4562,4562,"Apporteurs - Capital appelé, non versé",account.account_account_456,True,True,account.data_account_type_view,View,,
account.account_account_456210,456210,"Actionnaires - Capital souscrit et appelé, non versé",account.account_account_4562,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_456250,456250,"Associés - Capital appelé, non versé",account.account_account_4562,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_456300,456300,Associés - Versements reçus sur augmentation de capital,account.account_account_456,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_456400,456400,Associés - Versements anticipés,account.account_account_456,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_456600,456600,Actionnaires défaillants,account.account_account_456,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_456700,456700,Associés - Capital à rembourser,account.account_account_456,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_457000,457000,Associés - Dividendes à payer,account.account_account_45,True,True,account.data_account_type_liability,Regular,,
account.account_account_458,458,Associés - Opérations faites en commun et en GIE,account.account_account_45,True,True,account.data_account_type_view,View,,
account.account_account_458100,458100,Opérations courantes,account.account_account_458,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_458800,458800,Intérêts courus,account.account_account_458,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_46,46,Débiteurs divers et créditeurs divers,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_462000,462000,Créances sur cessions d'immobilisations,account.account_account_46,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_464000,464000,Dettes sur acquisitions de valeurs mobilières de placement,account.account_account_46,True,True,account.data_account_type_liability,Regular,,
account.account_account_465000,465000,Créances sur cessions de valeurs mobilières de placement,account.account_account_46,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_467000,467000,Autres comptes débiteurs ou créditeurs,account.account_account_46,True,False,account.data_account_type_liability,Regular,,
account.account_account_467100,467100,Comptes PayPal,account.account_account_46,True,False,account.data_account_type_liability,Regular,,
account.account_account_468,468,Divers - Charges à payer et produits à recevoir,account.account_account_46,True,True,account.data_account_type_view,View,,
account.account_account_468600,468600,Charges à payer,account.account_account_468,True,True,account.data_account_type_liability,Regular,,
account.account_account_468700,468700,Produits à recevoir,account.account_account_468,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_47,47,Comptes transitoires ou d'attente,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_471000,471000,Comptes d'attente 1,account.account_account_47,True,True,account.data_account_type_receivable,Receivable,,
